locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
1571753,The Geez Freeze,Truck,887000,18TH ST: DOLORES ST to CHURCH ST (3700 - 3799),3750 18TH ST,3579006,3579,006,21MFF-00015,APPROVED,Snow Cones: Soft Serve Ice Cream & Frozen Virgin Daiquiris,6004575.869,2105666.974,37.76201920035647,-122.42730642251331,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00015&ExportPDF=1&Filename=21MFF-00015_schedule.pdf,,,01/28/2022 12:00:00 AM,20210315,0,11/15/2022 12:00:00 AM,"(37.76201920035647, -122.42730642251331)",8,4,5,28862,3
1565571,MOMO INNOVATION LLC,Truck,3525000,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,0263011,0263,011,21MFF-00089,APPROVED,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles,6013245.668,2116754.292,37.792948952834664,-122.39809861316652,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00089&ExportPDF=1&Filename=21MFF-00089_schedule.pdf,,,10/22/2021 12:00:00 AM,20211022,0,11/15/2022 12:00:00 AM,"(37.792948952834664, -122.39809861316652)",4,1,10,28860,6
1565954,Treats by the Bay LLC,Truck,10624001,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 MONTGOMERY ST,0292002,0292,002,21MFF-00094,APPROVED,Sandwich: Donuts: Coffee: Soft Serve Ice Cream: Drinks,6011970.278,2115432.874,37.78924953407508,-122.40241859729358,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00094&ExportPDF=1&Filename=21MFF-00094_schedule.pdf,,,10/22/2021 12:00:00 AM,20211022,0,11/15/2022 12:00:00 AM,"(37.78924953407508, -122.40241859729358)",4,1,10,28854,6
1565594,MOMO INNOVATION LLC,Truck,9094000,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,3722067,3722,067,21MFF-00090,APPROVED,Noodles: Meat & Drinks,6012350.571,2114444.914,37.7865580501799,-122.40103337534973,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00090&ExportPDF=1&Filename=21MFF-00090_schedule.pdf,,,10/22/2021 12:00:00 AM,20211022,0,11/15/2022 12:00:00 AM,"(37.7865580501799, -122.40103337534973)",12,2,9,28855,6
735318,Ziaurehman Amini,Push Cart,30727000,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,0234017,0234,017,15MFF-0159,REQUESTED,,6013916.72,2117244.027,37.794331003246846,-122.39581105302317,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,,,,20151231,0,03/15/2016 12:00:00 AM,"(37.794331003246846, -122.39581105302317)",4,1,10,28855,6
1565628,Treats by the Bay LLC,Truck,5170000,ELLIS ST: POWELL ST to CYRIL MAGNIN ST (100 - 148),120 ELLIS ST,0326005,0326,005,21MFF-00093,APPROVED,Prepackaged Kettlecorn,6010286.046,2114141.69,37.78561008636915,-122.40815476434545,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00093&ExportPDF=1&Filename=21MFF-00093_schedule.pdf,,,10/22/2021 12:00:00 AM,20211022,0,11/15/2022 12:00:00 AM,"(37.78561008636915, -122.40815476434545)",14,10,10,28852,36
1612646,San Francisco Taco Truck,Truck,13660000,WILLIAMS AVE: APOLLO ST to PHELPS ST \ VESTA ST (300 - 399),345 WILLIAMS AVE,5423A009,5423A,009,22MFF-00030,REQUESTED,Tacos: Tortas: Burritos,6012447.306,2093773.934,37.72980548057414,-122.39924710472444,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00030&ExportPDF=1&Filename=22MFF-00030_schedule.pdf,,,,20220421,0,11/15/2022 12:00:00 AM,"(37.72980548057414, -122.39924710472444)",10,3,8,58,1
1612654,Sunset Mercantile/Outer Sunset Farmers Market & Mercantile,Truck,1835000,37TH AVE: QUINTARA ST to RIVERA ST (2100 - 2199),2155 37TH AVE,2094006,2094,006,22MFF-00031,REQUESTED,Multiple Food Trucks & Food Types,5984527.62,2100736.237,37.74732654654123,-122.49628067270531,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00031&ExportPDF=1&Filename=22MFF-00031_schedule.pdf,,,,20220421,0,11/15/2022 12:00:00 AM,"(37.74732654654123, -122.49628067270531)",1,8,3,29491,35
1571649,DO UC US Mobile Catering,Truck,8700000,MARIN ST: KANSAS ST to HWY 101 N ON RAMP (2500 - 2599),2590 MARIN ST,4339008,4339,008,21MFF-00107,APPROVED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks,6011441.697,2100557.577,37.74837582577795,-122.40320062649582,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00107&ExportPDF=1&Filename=21MFF-00107_schedule.pdf,,,11/19/2021 12:00:00 AM,20211112,1,11/15/2022 12:00:00 AM,"(37.74837582577795, -122.40320062649582)",10,3,8,58,1
1591821,Truly Food & More,Truck,9092000,MISSION ST: 02ND ST to NEW MONTGOMERY ST (600 - 634),602 MISSION ST,3707013,3707,013,22MFF-00019,APPROVED,Latin Food: Tacos: Pupusas: Vegetables: Salad: Waters: Sodas,6012606.129,2114955.147,37.78797328321604,-122.40018504988889,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00019&ExportPDF=1&Filename=22MFF-00019_schedule.pdf,,,02/09/2022 12:00:00 AM,20220126,1,11/15/2022 12:00:00 AM,"(37.78797328321604, -122.40018504988889)",12,2,9,28855,6
